id	age	gender	occupation	location
0	1	0	0	0
1	4	1	1	1
2	1	0	2	2
3	1	0	0	3
4	2	1	1	4
5	3	0	3	5
6	4	0	4	6
7	2	0	4	7
8	1	0	5	8
9	4	0	6	9
10	2	1	1	10
11	1	1	1	11
12	3	0	7	12
13	3	0	8	13
14	3	1	7	14
15	1	0	9	15
16	1	0	10	16
17	2	1	1	17
18	2	0	11	18
19	3	1	12	19
20	1	0	2	20
21	1	0	2	21
22	1	1	13	22
23	1	1	13	23
24	2	0	14	24
25	3	0	14	25
26	2	1	11	26
27	2	0	2	27
28	3	0	10	1
29	0	0	5	28
30	1	0	13	29
31	1	1	5	30
32	1	0	5	31
33	2	1	4	32
34	1	1	12	33
35	1	1	5	34
36	1	0	5	35
37	1	1	1	36
38	3	0	9	37
39	2	0	8	38
40	2	0	14	39
41	1	0	4	40
42	1	1	11	41
43	1	0	0	42
44	1	0	10	43
45	1	1	15	44
46	4	0	15	45
47	3	0	4	46
48	1	1	5	47
49	1	0	2	48
50	1	0	7	49
51	0	1	5	35
52	1	0	10	50
53	1	0	3	51
54	2	0	10	52
55	1	0	11	42
56	0	0	16	53
57	1	0	10	54
58	3	0	7	55
59	3	0	17	56
60	2	0	14	57
61	1	1	4	58
62	2	0	15	59
63	2	0	7	60
64	4	1	7	61
65	1	0	5	62
66	0	0	5	63
67	1	0	5	64
68	1	0	14	65
69	1	0	14	66
70	2	0	8	67
71	3	1	4	68
72	1	0	5	69
73	2	0	8	70
74	1	0	9	71
75	1	0	5	72
76	1	0	0	73
77	1	0	4	74
78	2	1	4	75
79	2	1	4	76
80	1	0	5	77
81	3	0	10	78
82	2	0	1	79
83	2	0	3	27
84	4	0	7	80
85	1	0	4	81
86	3	0	4	82
87	3	1	11	83
88	3	1	4	84
89	4	0	7	85
90	4	0	15	86
91	2	0	9	39
92	3	0	3	87
93	1	0	5	88
94	2	0	4	89
95	1	1	13	90
96	3	0	13	91
97	3	1	3	92
98	1	0	5	93
