id	type	temperature	humidity	windSpeed
0	1	6	0	2
1	1	5	1	2
2	3	5	1	2
3	3	5	2	2
4	1	5	2	2
5	1	6	1	3
6	1	6	1	1
7	1	6	0	1
8	1	6	0	1
9	2	5	2	0
10	0	5	2	2
11	2	4	5	2
12	1	4	4	4
13	0	4	4	3
14	0	4	4	2
15	0	4	4	2
16	1	5	1	4
17	1	4	2	3
18	1	4	3	2
19	0	3	3	2
20	0	3	3	2
21	0	4	1	4
22	0	5	1	4
23	0	5	1	4
24	0	5	1	4
25	2	4	4	2
26	2	4	4	4
27	2	3	5	4
28	2	3	5	4
29	2	3	5	3
30	0	4	5	3
31	0	5	2	3
32	0	4	3	2
33	1	4	4	0
34	1	3	5	0
35	1	3	5	0
36	2	3	5	0
37	2	3	5	2
38	2	4	5	2
39	2	4	4	3
40	2	4	5	2
41	2	4	5	2
42	0	4	5	3
43	0	3	5	2
44	1	3	5	1
45	1	5	2	2
46	1	5	1	2
47	1	5	1	3
48	1	5	1	3
49	1	4	4	2
50	1	4	4	2
51	1	4	4	1
52	1	4	4	1
53	1	4	3	2
54	1	5	1	2
55	0	5	1	1
56	1	5	1	2
57	1	4	4	0
58	1	4	4	1
59	3	4	5	1
60	3	4	5	0
61	1	6	1	0
62	1	6	0	1
63	0	6	0	1
64	0	6	0	0
65	1	5	3	0
66	1	4	4	0
67	1	4	4	0
68	1	4	5	1
69	1	5	3	1
70	1	5	1	2
71	0	5	1	2
72	1	5	1	2
73	1	4	4	0
74	3	4	5	0
75	1	3	5	0
76	1	3	5	0
77	3	5	1	0
78	1	5	0	2
79	1	6	0	2
80	1	5	1	1
81	1	5	3	0
82	1	4	4	1
83	1	4	4	0
84	1	4	5	0
85	0	5	3	1
86	1	6	1	2
87	1	6	0	1
88	1	5	1	2
89	1	5	3	0
90	1	5	5	0
91	1	4	5	0
92	1	4	5	0
93	0	5	2	0
94	0	6	1	0
95	0	6	1	0
96	1	6	1	0
97	0	5	2	2
98	1	5	3	2
99	1	5	4	0
100	1	5	4	1
101	1	5	2	2
102	1	6	1	2
103	1	6	0	2
104	1	6	1	2
105	0	5	2	0
106	0	5	4	0
107	0	5	4	1
108	0	4	4	1
109	0	5	2	1
110	0	6	1	3
111	0	6	1	4
112	1	5	1	2
113	0	5	3	0
114	0	5	4	1
115	0	5	4	1
116	0	5	4	0
117	0	5	3	2
118	0	5	1	0
119	4	5	5	1
120	4	5	5	0
121	4	5	5	0
122	4	4	5	0
123	4	4	5	0
124	4	4	5	0
125	1	5	3	0
126	1	5	1	0
127	1	6	1	1
128	1	6	1	0
129	1	5	4	0
130	3	5	5	0
131	1	4	5	1
132	0	5	4	0
133	1	5	2	0
134	1	5	2	3
135	0	5	2	0
136	0	5	2	2
137	0	5	4	1
138	0	5	5	0
139	1	4	5	1
140	0	4	5	0
141	1	5	3	0
142	0	5	3	1
143	0	5	2	1
144	1	5	2	0
145	1	5	4	0
146	1	5	4	1
147	1	5	4	1
148	1	5	4	3
149	0	5	3	3
150	0	5	1	2
151	1	5	1	4
152	1	5	1	4
153	0	5	1	3
154	1	5	5	0
155	3	4	5	0
156	1	4	5	1
157	1	5	1	0
158	1	6	1	0
159	1	6	1	0
160	1	6	1	0
161	1	5	3	0
162	1	5	4	0
163	3	4	5	0
164	3	4	5	0
165	1	5	2	1
166	1	6	1	2
167	1	6	1	3
168	1	6	1	2
169	1	5	2	1
170	2	4	1	3
171	1	4	3	2
172	1	3	4	2
173	1	5	1	2
174	1	5	0	1
175	1	5	0	2
176	1	5	0	2
177	1	4	2	1
178	3	3	4	0
179	1	3	5	0
180	1	3	4	0
181	1	5	0	0
182	1	6	0	0
183	0	6	0	2
184	1	6	0	1
185	1	5	1	1
186	1	4	3	0
187	0	3	4	0
188	0	4	4	1
189	0	5	2	1
190	0	5	2	4
191	0	5	1	3
192	0	5	0	2
193	1	4	2	2
194	0	4	2	2
195	3	3	3	2
196	1	3	3	1
197	1	5	0	4
198	1	5	0	4
199	1	5	0	3
200	1	5	0	3
201	1	4	2	0
